Date;Rain (mm)
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.20
13/8/2015;0.40
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
13/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
14/8/2015;0.00
19/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.80
20/11/2015;2.00
20/11/2015;2.20
20/11/2015;0.80
20/11/2015;0.60
20/11/2015;0.40
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;1.40
20/11/2015;1.00
20/11/2015;0.20
20/11/2015;0.20
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
20/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;1.20
21/11/2015;0.20
21/11/2015;0.40
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.00
21/11/2015;0.20
21/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.20
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
22/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.20
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.60
23/11/2015;0.40
23/11/2015;0.20
23/11/2015;0.00
23/11/2015;0.00
23/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
24/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.20
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
25/11/2015;0.00
